Tempo,Angolo,Velocità angolare,Accelerazione angolare,Lunghezza,Velocità di allungamento,Accelerazione di allungamento
4442,-51.4881,0.0,0.0,36.294903,0.0,0.0
4466,-51.4881,0.0,0.0,36.294903,0.0,0.0
4490,-51.238274,24.46478,1185.5632,36.42079,12.366696,608.4574
4508,-50.49724,47.958393,1111.2185,36.800346,24.91101,624.88916
4540,-49.297104,69.465904,993.9175,37.439465,37.942703,656.8182
4558,-47.642487,88.62073,837.3713,38.37695,52.086678,700.6551
4581,-45.61091,104.30641,654.1095,39.628265,67.30979,750.2379
4634,-43.283474,116.027725,458.38916,41.215996,83.634636,799.5044
4666,-40.549564,124.05756,251.26166,43.324783,102.33071,846.1707
4688,-37.66114,127.59896,62.846615,45.892323,122.13479,882.0581
4707,-34.76085,127.19844,-92.061844,48.897175,142.45523,904.45935
4732,-31.9156,123.71595,-209.20747,52.35533,163.06123,913.73694
4754,-29.14054,117.924614,-285.11603,56.334595,182.7451,357.54456
4782,-26.50045,112.154076,-182.90045,60.3865,159.51686,-2306.8447
4808,-23.954016,110.60311,63.556362,63.254593,83.371506,-4120.3774
4826,-21.358355,115.647514,382.38803,64.01307,-18.966482,-4482.1895
4852,-18.570253,128.46661,736.34174,62.467716,-110.956436,-3291.0303
4874,-15.397684,149.24219,1057.9111,59.23957,-161.46548,-985.002
4896,-11.6575775,175.56789,1167.7513,55.490246,-153.57741,1635.326
4915,-7.349415,200.73293,1008.5603,52.41566,-115.06577,1731.3273
4937,-2.534383,220.43407,694.40875,50.249073,-74.746315,1798.5402
4960,2.626598,231.39346,252.6476,49.01649,-33.52814,1812.9701
4981,7.879075,231.58086,-235.90508,48.718956,6.9829745,1760.6934
5000,13.013065,221.09636,-676.09827,49.317932,45.569885,1644.6832
5018,17.784771,202.06784,-991.9278,50.746124,80.81744,1484.5568
5040,22.01835,177.86888,-1159.6687,52.897446,111.88906,1307.4285
5055,25.658827,151.5995,-1200.5009,55.673927,138.77243,1020.30176
5071,28.693113,126.56553,-1055.2627,58.774868,136.91988,-1171.8767
5095,31.210566,106.40823,-796.95166,61.318623,91.198425,-2919.1506
5109,33.34027,91.956345,-550.61774,62.522995,17.61913,-3718.911
5129,35.19332,82.293625,-366.63824,62.055534,-60.162186,-3380.9067
5148,36.86865,75.752235,-263.99115,60.097435,-119.38485,-2056.5068
5169,38.406242,70.42258,-260.54822,57.263042,-143.40714,-177.65213
5187,39.821884,64.04624,-358.7351,54.346638,-130.14143,951.52045
5212,41.078297,55.25306,-479.28506,51.820736,-110.73078,898.4368
5234,42.143772,43.665928,-599.92053,49.648396,-92.008,848.2423
5252,42.9265,29.765043,-708.27704,47.88444,-74.48303,805.7395
5271,43.388268,13.932972,-796.35535,46.49605,-57.92764,773.5974
5292,43.49993,-3.5295649,-857.64764,45.446426,-41.876637,753.64844
5313,43.234787,-21.85753,-885.1571,44.7336,-26.170155,747.3903
5329,42.585808,-40.29003,-874.71027,44.35056,-10.518351,754.71796
5346,41.56833,-57.934597,-825.2888,44.29569,5.269648,773.95734
5364,40.211834,-74.03945,-739.39233,44.568485,21.420074,802.14087
5381,38.562172,-87.92877,-623.1791,45.17167,38.05199,835.3921
5398,36.666897,-99.15768,-485.233,46.113758,55.283405,869.69464
5420,34.56848,-107.47885,-335.30453,47.414627,73.232254,901.40137
5445,32.348244,-112.716484,-186.3181,49.072453,91.63839,927.0294
5467,30.015377,-115.059746,-45.600437,51.140686,110.784615,944.886
5488,27.65372,-114.70291,76.590744,53.615078,130.28905,953.5255
5508,25.324558,-112.10255,166.05803,56.48307,147.66016,300.88867
5534,23.033718,-108.85513,123.09265,59.46679,133.13785,-1659.3624
5548,20.80474,-107.75142,-29.295568,61.744312,82.67539,-3109.6326
5572,18.576818,-110.43355,-239.22237,62.72872,11.530822,-3667.7317
5589,16.24979,-117.73326,-475.9944,62.21058,-60.548744,-3209.1472
5608,13.741673,-129.772,-702.49963,60.39477,-113.558815,-1887.6864
5622,10.96175,-145.69833,-852.22955,57.830963,-133.90956,-83.93863
5637,7.865638,-162.88531,-823.5013,55.251663,-117.426575,1535.7167
5654,4.4729757,-177.67682,-650.78687,53.222916,-86.45024,1576.2639
5671,0.8498049,-188.23079,-406.87216,51.824234,-55.07274,1595.2933
5687,-2.8976486,-193.40222,-115.66635,51.051464,-23.867481,1585.3088
5705,-6.6696916,-192.68433,188.30264,50.88538,6.672038,1543.2123
5726,-10.342986,-186.28632,466.40054,51.29913,35.86801,1471.519
5742,-13.838234,-175.0115,690.5128,52.260628,63.398037,1376.7805
5759,-17.073347,-160.0932,844.876,53.732384,88.911354,1268.4182
5781,-19.969421,-143.06424,927.8089,55.65412,111.990585,1055.0717
5796,-22.54037,-125.4501,885.71265,57.89685,117.04796,-530.5131
5815,-24.778406,-109.86852,739.24567,59.940678,92.925865,-1941.6517
5831,-26.737019,-97.51116,565.68823,61.28858,46.551197,-2851.6665
5847,-28.484266,-88.368614,409.51926,61.635284,-10.423495,-3070.9805
5863,-30.074991,-81.85851,293.54633,60.92016,-64.359116,-2576.2402
5879,-31.552727,-77.061295,231.78996,59.329926,-103.09811,-1507.579
5895,-32.94015,-72.84071,236.05939,57.239693,-118.4682,-126.298355
5911,-34.23919,-67.90261,310.30716,55.114338,-108.29295,996.7159
5929,-35.42815,-61.320213,406.33585,53.29158,-90.4157,950.8424
5944,-36.47384,-53.069424,497.09845,51.79817,-73.47791,906.7896
5961,-37.350956,-43.29118,577.7288,50.61111,-57.386124,866.1312
